timestamp,voltage_a,voltage_b,voltage_c,current_a,current_b,current_c,power,load,temperature
2026-09-16 17:00:00,10.0102,9.9864,9.742,59.343,57.239,63.459,248.69,260.41,8.34
2026-09-16 17:15:00,10.0035,9.9279,9.679,58.97,59.601,64.149,244.17,265.61,10.57
2026-09-16 17:30:00,10.0429,9.9815,9.6988,58.608,58.543,62.875,241.32,261.0,12.24
2026-09-16 17:45:00,9.9996,9.8935,9.7118,59.692,58.213,63.217,242.61,258.04,14.17
2026-09-16 18:00:00,10.0001,10.0629,9.788,59.526,58.622,63.537,240.13,257.27,16.29
2026-09-16 18:15:00,9.9352,10.0096,9.7033,60.432,59.862,63.834,242.81,260.58,17.98
2026-09-16 18:30:00,10.0143,10.0281,9.6849,59.136,56.752,63.06,242.37,262.43,20.32
2026-09-16 18:45:00,9.9137,9.9731,9.6975,59.812,59.836,61.902,240.97,261.24,21.76
2026-09-16 19:00:00,10.0407,10.0195,9.7121,59.493,58.461,62.092,240.57,258.52,23.02
2026-09-16 19:15:00,9.9935,10.021,9.7117,61.488,61.158,63.461,248.46,256.69,24.74
2026-09-16 19:30:00,9.9682,9.9813,9.6848,59.617,57.208,62.546,242.91,264.6,25.57
2026-09-16 19:45:00,10.0484,10.0175,9.6797,60.347,60.849,63.479,241.03,259.44,27.23
2026-09-16 20:00:00,10.0291,10.0323,9.723,58.194,56.689,63.497,246.35,262.1,28.25
2026-09-16 20:15:00,10.0478,9.9626,9.7388,60.399,58.919,63.067,244.26,258.55,30.04
2026-09-16 20:30:00,10.049,9.973,9.7218,60.95,59.413,64.719,239.64,262.58,30.68
2026-09-16 20:45:00,10.05,9.9947,9.7099,60.365,60.275,65.485,244.67,259.88,31.75
2026-09-16 21:00:00,9.9426,9.9882,9.7923,60.854,57.868,62.878,249.53,261.59,32.64
2026-09-16 21:15:00,9.9787,10.0294,9.7311,60.937,58.166,63.392,248.06,266.57,33.66
2026-09-16 21:30:00,9.9558,10.0321,9.7122,60.504,60.281,64.628,250.34,264.61,34.2
2026-09-16 21:45:00,10.0086,9.9688,9.626,60.745,59.879,63.395,247.57,268.21,34.7
2026-09-16 22:00:00,10.0067,10.0518,9.748,61.688,60.552,64.924,251.06,273.68,35.93
2026-09-16 22:15:00,9.9454,9.9992,9.6963,62.571,63.136,66.42,251.58,275.54,37.0
2026-09-16 22:30:00,9.9962,10.0144,9.7408,64.212,61.396,67.755,260.81,277.62,37.64
2026-09-16 22:45:00,9.9813,9.9715,9.7479,63.554,62.892,68.363,258.57,282.87,38.47
2026-09-16 23:00:00,10.0136,10.0268,9.6743,64.484,62.771,68.386,263.41,283.53,38.81
2026-09-16 23:15:00,9.9897,9.9439,9.7066,67.678,63.244,69.701,269.18,289.99,39.64
2026-09-16 23:30:00,9.989,10.0238,9.6582,67.187,65.111,71.165,270.17,292.8,40.03
2026-09-16 23:45:00,9.9696,9.9699,9.6705,68.867,67.804,73.268,272.04,298.98,40.98
2026-09-17 00:00:00,10.0164,10.0054,9.7529,68.77,68.17,74.081,279.04,305.52,41.18
2026-09-17 00:15:00,9.9977,9.9728,9.6506,70.485,68.698,74.556,286.99,310.3,41.6
2026-09-17 00:30:00,10.0254,10.0097,9.6875,72.27,71.26,74.975,288.52,319.08,42.39
2026-09-17 00:45:00,9.9925,10.0294,9.6506,73.12,72.081,78.754,299.03,319.58,43.16
2026-09-17 01:00:00,9.9797,10.0171,9.7024,75.507,74.113,79.286,301.86,327.14,43.68
2026-09-17 01:15:00,10.0093,10.0347,9.7109,76.195,75.896,80.496,304.53,332.0,43.83
2026-09-17 01:30:00,9.9694,9.9989,9.7572,76.007,74.672,81.145,310.93,337.52,43.77
2026-09-17 01:45:00,10.0473,9.9931,9.6413,77.998,76.785,82.077,313.61,339.06,44.6
2026-09-17 02:00:00,10.0331,9.9813,9.7394,78.055,76.761,83.899,318.44,343.7,45.06
2026-09-17 02:15:00,9.9932,9.9855,9.7044,79.036,77.038,83.722,322.45,344.96,46.23
