timestamp,voltage_a,voltage_b,voltage_c,current_a,current_b,current_c,power,load,temperature
2026-09-16 17:00:00,10.0196,9.9653,9.9882,60.152,59.178,61.958,246.68,259.83,8.44
2026-09-16 17:15:00,10.0266,10.0447,9.9768,58.096,58.912,64.344,240.57,260.59,10.33
2026-09-16 17:30:00,9.9691,10.0383,10.0008,59.892,59.363,62.406,242.39,261.36,13.09
2026-09-16 17:45:00,9.9487,9.9592,10.0378,59.706,56.276,62.407,237.96,259.93,14.39
2026-09-16 18:00:00,10.0382,9.9577,9.9876,59.125,59.316,62.247,242.81,259.82,16.34
2026-09-16 18:15:00,10.0053,10.0211,10.0162,59.479,57.601,64.019,237.94,264.11,18.51
2026-09-16 18:30:00,9.9244,9.9798,9.9972,59.244,59.314,61.524,245.18,262.92,19.93
2026-09-16 18:45:00,9.9453,9.9893,9.996,59.835,58.9,62.439,241.46,261.31,21.32
2026-09-16 19:00:00,9.973,9.9317,10.0047,58.512,58.516,63.662,241.32,257.65,22.99
2026-09-16 19:15:00,9.9704,9.9668,9.9561,61.011,59.575,63.752,241.85,255.96,24.08
2026-09-16 19:30:00,9.916,10.0374,9.9381,60.86,58.145,64.019,238.3,255.83,25.33
2026-09-16 19:45:00,10.038,9.977,9.9741,59.386,58.934,63.018,243.7,261.28,27.64
2026-09-16 20:00:00,10.0061,10.0208,9.9578,58.624,58.307,65.24,248.59,264.18,28.64
2026-09-16 20:15:00,9.9769,9.9993,9.9475,59.5,58.618,64.39,245.07,260.49,29.27
2026-09-16 20:30:00,10.0128,10.0623,9.9501,60.027,58.611,62.759,244.16,264.63,30.4
2026-09-16 20:45:00,10.0078,9.9815,9.956,61.207,58.964,64.966,244.29,261.61,32.12
2026-09-16 21:00:00,10.0003,10.0103,10.0199,61.658,56.94,64.533,250.81,264.44,33.4
2026-09-16 21:15:00,10.038,9.9755,9.9049,58.709,58.52,64.627,245.6,263.04,33.8
2026-09-16 21:30:00,9.9921,10.013,10.1113,61.501,59.389,64.345,243.06,261.85,34.33
2026-09-16 21:45:00,9.9624,9.9803,9.9509,61.265,60.107,63.4,245.58,262.93,35.05
2026-09-16 22:00:00,10.0197,9.9683,10.0119,61.8,59.549,66.582,250.35,269.54,35.79
2026-09-16 22:15:00,9.9802,9.9651,9.9875,61.62,60.129,66.972,255.72,275.81,36.79
2026-09-16 22:30:00,10.0545,9.9672,9.9722,63.5,61.744,68.101,254.64,281.55,37.24
2026-09-16 22:45:00,10.0047,9.9978,10.0719,63.559,61.277,69.509,260.71,280.77,38.48
2026-09-16 23:00:00,9.9862,10.0033,9.9692,65.201,63.34,69.032,264.55,286.62,39.03
2026-09-16 23:15:00,9.9609,9.9985,9.9512,66.388,63.748,70.522,270.99,287.4,39.33
2026-09-16 23:30:00,10.0047,10.0378,10.0358,67.695,65.64,70.406,272.57,292.07,40.3
2026-09-16 23:45:00,10.0111,9.9841,10.0044,69.672,67.015,70.651,279.27,296.46,40.56
2026-09-17 00:00:00,10.0395,9.9504,10.0005,70.118,68.514,73.454,280.16,302.73,40.78
2026-09-17 00:15:00,10.0642,10.0138,10.0016,70.56,70.064,75.089,283.39,309.56,41.68
2026-09-17 00:30:00,9.9766,10.0306,10.0282,72.811,70.101,75.964,292.45,319.52,42.97
2026-09-17 00:45:00,10.0252,9.9955,9.9928,72.077,71.827,77.442,293.93,323.88,43.13
2026-09-17 01:00:00,9.9845,9.9367,9.9847,74.828,73.052,79.766,302.21,331.99,43.25
2026-09-17 01:15:00,9.9841,10.0165,10.0659,75.653,73.313,79.623,309.29,331.84,44.3
2026-09-17 01:30:00,9.9838,10.0277,9.9137,78.176,75.49,80.69,313.63,336.61,44.38
2026-09-17 01:45:00,9.9715,9.9277,10.0291,78.674,75.349,80.798,322.26,335.85,45.04
2026-09-17 02:00:00,9.9688,9.9931,9.9635,77.788,76.375,83.237,316.89,341.75,45.11
2026-09-17 02:15:00,9.9746,9.9811,9.9634,79.002,77.536,82.525,317.99,344.59,45.71
2026-09-17 02:30:00,9.9857,10.0178,9.9494,78.955,77.841,82.322,322.87,348.55,46.12
2026-09-17 02:45:00,9.9764,9.9737,10.0713,78.716,76.334,82.568,318.12,343.69,46.49
2026-09-17 03:00:00,10.0086,9.9809,10.0255,79.364,75.726,85.284,316.81,345.48,47.21
2026-09-17 03:15:00,10.0067,9.9984,10.0381,78.429,77.743,81.214,309.48,337.31,47.08
2026-09-17 03:30:00,9.959,9.9597,9.9996,77.265,75.221,82.302,309.66,338.95,47.26
2026-09-17 03:45:00,9.9763,10.0347,10.041,76.906,75.76,80.186,311.09,329.93,47.87
2026-09-17 04:00:00,10.0726,10.0294,10.0693,75.006,72.161,79.768,303.18,325.92,47.76
2026-09-17 04:15:00,9.9764,9.9473,9.9625,74.012,72.374,76.774,299.21,323.85,49.03
2026-09-17 04:30:00,10.0383,9.9897,10.016,72.359,71.965,75.983,298.54,321.24,49.39
2026-09-17 04:45:00,10.0484,10.013,9.9876,70.612,69.158,74.324,292.09,314.14,48.22
2026-09-17 05:00:00,9.9943,9.9894,10.0016,69.735,69.836,74.169,282.15,304.18,48.48
2026-09-17 05:15:00,9.9435,10.0089,9.9872,69.157,67.475,72.423,280.89,300.79,49.27
2026-09-17 05:30:00,9.9833,9.9222,10.0767,66.72,65.724,70.921,269.72,292.84,49.58
2026-09-17 05:45:00,10.0263,10.0181,9.94,65.191,64.483,70.569,261.49,286.31,49.22
2026-09-17 06:00:00,10.0479,9.9954,9.9905,64.984,64.761,68.064,265.75,287.54,49.38
2026-09-17 06:15:00,10.0641,10.0008,10.0016,64.339,64.348,67.908,268.19,279.85,49.47
2026-09-17 06:30:00,9.9547,10.0237,9.9762,65.001,63.729,67.118,258.45,276.01,48.76
2026-09-17 06:45:00,10.0299,10.0115,10.0135,63.316,62.96,66.781,259.32,275.03,49.01
2026-09-17 07:00:00,9.9576,9.9777,10.0339,63.937,60.739,66.993,259.17,275.23,49.13
2026-09-17 07:15:00,9.9954,10.0646,10.0014,63.434,60.274,66.141,255.19,272.57,48.99
2026-09-17 07:30:00,9.9955,9.9755,9.9695,60.103,60.135,65.548,257.47,273.56,49.59
2026-09-17 07:45:00,9.9628,10.0496,10.0506,63.771,63.487,65.999,256.26,273.7,49.43
2026-09-17 08:00:00,10.0374,9.9966,9.9991,62.869,62.823,65.962,260.19,276.49,49.0
2026-09-17 08:15:00,10.0105,10.0274,10.0085,64.453,62.343,67.688,262.9,278.01,49.27
2026-09-17 08:30:00,10.0199,10.0399,9.998,64.804,64.116,69.952,268.86,284.32,49.68
2026-09-17 08:45:00,9.9566,10.0172,10.0887,66.726,64.97,69.517,269.63,288.57,49.92
2026-09-17 09:00:00,9.964,9.9564,9.9539,67.248,66.582,70.196,276.72,291.27,49.78
2026-09-17 09:15:00,10.04,10.0438,10.0016,69.459,67.034,73.675,275.77,303.83,49.81
2026-09-17 09:30:00,9.9724,10.0522,9.9267,71.466,68.051,73.411,288.48,305.01,49.2
2026-09-17 09:45:00,10.0244,9.9294,9.9737,71.62,69.533,76.565,294.99,312.85,49.79
2026-09-17 10:00:00,10.0427,10.0252,10.0104,74.357,71.385,78.615,305.09,323.16,50.05
2026-09-17 10:15:00,10.0026,9.9901,9.9923,74.783,72.594,77.703,309.05,325.27,50.57
2026-09-17 10:30:00,9.9651,10.0342,10.0682,75.644,74.497,81.852,319.02,339.47,50.16
2026-09-17 10:45:00,9.9754,9.9728,10.0295,78.44,77.838,83.078,315.96,340.56,50.55
2026-09-17 11:00:00,9.9584,10.0087,9.9843,79.968,78.204,84.783,326.96,351.03,51.27
2026-09-17 11:15:00,9.9455,10.0184,10.0748,82.127,80.116,84.472,329.99,353.05,50.68
2026-09-17 11:30:00,9.9461,10.0308,9.9822,83.443,80.79,87.526,334.11,355.87,50.86
2026-09-17 11:45:00,9.9562,10.0009,10.0085,82.3,80.117,89.021,332.31,358.4,50.92
2026-09-17 12:00:00,9.9997,10.0193,9.9455,83.021,80.474,86.593,336.41,361.81,51.57
2026-09-17 12:15:00,9.9801,10.0563,10.031,83.991,79.11,89.512,334.63,354.7,51.75
2026-09-17 12:30:00,10.074,9.9769,10.0412,82.006,80.262,86.793,339.94,359.84,51.96
2026-09-17 12:45:00,10.0577,10.026,9.9524,81.983,79.575,86.409,328.01,356.56,51.47
2026-09-17 13:00:00,10.0378,10.0478,10.057,80.402,78.999,86.624,324.47,348.45,51.87
2026-09-17 13:15:00,9.9605,10.0114,9.9818,79.727,78.765,83.103,324.54,343.18,51.28
2026-09-17 13:30:00,10.0205,10.0515,9.9484,77.156,74.678,82.119,313.23,334.32,52.23
2026-09-17 13:45:00,10.0795,9.9901,10.0442,75.661,73.532,80.539,305.85,327.24,52.02
2026-09-17 14:00:00,9.9857,10.0056,10.0425,74.618,71.803,79.037,296.24,323.27,51.84
2026-09-17 14:15:00,9.9728,9.9988,9.9724,70.906,68.44,76.511,289.36,314.44,52.04
2026-09-17 14:30:00,10.0192,9.987,10.0179,69.062,69.498,72.877,288.38,305.41,51.86
2026-09-17 14:45:00,9.94,9.9799,9.9746,67.518,67.852,73.864,280.7,302.77,51.69
2026-09-17 15:00:00,10.0345,9.9788,9.9383,67.042,64.887,70.2,271.84,292.04,52.08
2026-09-17 15:15:00,10.0004,9.9886,10.0848,65.719,64.589,68.446,273.07,288.55,51.57
2026-09-17 15:30:00,10.0503,10.0102,10.0544,64.831,64.556,68.456,263.76,280.06,51.58
2026-09-17 15:45:00,10.0039,9.9595,9.9582,64.641,62.423,67.669,258.01,276.76,52.1
2026-09-17 16:00:00,10.0216,9.9506,9.9797,62.89,59.889,66.069,259.39,278.36,51.69
2026-09-17 16:15:00,10.015,9.9777,10.1208,61.499,63.049,64.766,253.45,269.93,51.15
2026-09-17 16:30:00,10.03,10.0388,9.9807,60.984,60.939,66.666,251.57,271.08,51.71
2026-09-17 16:45:00,10.0584,10.0371,10.0042,59.848,59.524,64.732,250.36,264.73,51.1
2026-09-17 17:00:00,10.0541,9.9415,9.9528,59.21,57.699,62.384,243.48,262.71,51.32
2026-09-17 17:15:00,9.9291,10.014,9.8712,60.467,59.778,63.183,245.58,259.56,50.58
2026-09-17 17:30:00,9.9298,10.0338,10.0303,59.193,57.973,63.926,241.1,259.63,50.84
2026-09-17 17:45:00,9.9772,9.9895,9.981,58.257,58.345,62.213,242.34,260.63,50.91
2026-09-17 18:00:00,9.927,10.0152,9.9906,58.492,59.599,63.084,245.8,263.68,50.61
2026-09-17 18:15:00,10.0461,10.0763,10.0407,60.322,58.619,61.567,242.69,258.87,50.58
2026-09-17 18:30:00,9.9433,9.9685,9.9892,59.018,57.618,62.17,242.14,262.81,50.8
2026-09-17 18:45:00,10.0091,10.0287,9.992,59.036,57.386,62.793,245.59,258.18,50.53
2026-09-17 19:00:00,9.9558,10.0619,9.9891,58.209,58.28,64.227,246.5,259.81,50.32
2026-09-17 19:15:00,9.9218,10.0127,10.0233,58.636,58.253,63.748,240.35,258.14,49.79
2026-09-17 19:30:00,9.9792,10.0122,10.0612,60.233,58.332,62.98,237.23,263.46,50.54
2026-09-17 19:45:00,9.9853,10.0003,10.0305,58.879,57.767,63.567,241.9,260.32,50.0
2026-09-17 20:00:00,9.972,9.9964,10.0369,58.885,59.158,62.963,242.93,268.33,50.49
2026-09-17 20:15:00,9.9497,9.9868,9.9207,59.845,57.034,64.138,241.24,260.81,49.93
2026-09-17 20:30:00,9.9701,10.0174,10.036,60.785,59.873,64.728,242.91,264.45,49.76
2026-09-17 20:45:00,9.9981,10.0099,10.038,60.866,58.609,63.379,243.38,267.45,49.63
2026-09-17 21:00:00,10.0075,9.9942,9.9978,60.27,58.899,63.726,249.63,262.66,50.05
2026-09-17 21:15:00,10.0223,9.9999,9.9843,60.335,57.955,63.464,243.97,265.61,49.89
2026-09-17 21:30:00,10.0372,9.9947,10.0572,62.316,59.718,65.163,251.47,269.29,49.85
2026-09-17 21:45:00,9.9655,9.9727,9.9892,61.339,60.133,64.088,247.85,268.19,50.04
2026-09-17 22:00:00,9.9975,10.0214,10.0643,62.868,59.834,64.98,253.95,271.28,49.94
2026-09-17 22:15:00,10.0053,10.0059,10.0354,63.899,61.646,65.878,255.35,272.05,49.81
2026-09-17 22:30:00,10.0215,10.0237,9.9779,64.03,61.486,66.026,252.47,274.22,49.64
2026-09-17 22:45:00,10.0018,9.9915,9.9187,62.423,63.555,68.511,260.01,282.98,50.17
2026-09-17 23:00:00,9.9729,9.9842,9.9608,66.201,62.875,69.776,263.02,281.84,49.39
2026-09-17 23:15:00,9.988,10.0479,9.968,65.057,63.71,70.31,270.32,290.62,49.8
2026-09-17 23:30:00,9.9446,10.0005,10.0158,66.521,64.578,71.135,278.7,296.25,49.41
2026-09-17 23:45:00,10.0406,9.9142,9.9964,68.763,66.643,70.738,278.64,304.08,49.86
2026-09-18 00:00:00,9.9856,10.0149,9.9419,69.519,68.297,72.892,276.48,308.12,49.59
2026-09-18 00:15:00,10.0153,10.0078,9.9961,70.327,69.108,76.237,286.99,305.62,49.79
2026-09-18 00:30:00,10.015,10.0239,10.0239,71.31,69.328,77.828,294.31,312.66,50.51
2026-09-18 00:45:00,9.973,10.0026,9.9713,74.683,72.372,78.564,299.52,321.42,50.85
2026-09-18 01:00:00,10.007,10.0197,10.0165,74.658,75.112,79.515,300.13,328.91,50.59
2026-09-18 01:15:00,10.0676,10.0634,9.9788,75.03,73.918,80.238,305.4,332.07,50.7
2026-09-18 01:30:00,9.9899,10.0394,9.9295,77.002,75.44,82.583,309.22,335.14,50.74
2026-09-18 01:45:00,10.0422,10.0006,9.9757,77.144,77.798,81.389,316.7,339.29,50.79
